P,I,D,T（→）,onehot
1,8,18,371.93,1
2,7,19,371.93,1
3,9,16,371.93,1
0.9,5,20,371.93,1
1.5,30,1,371.93,1
5,47,3,371.93,1
2,40,0,371.93,1
0.5,20,1,371.93,1
6,33,2,378.79,1
2.5,18,6,372.6,1
13,25,0,378.01,1
0.1,18,4,402.53,1
10,55,5,424.4,1
1.5,9.2,16.5,380.71,1
3.5,70,30,437.31,1
6.5,85,20,442.5,1
4.4,100,30,꼇澗졉,0
2.8,77,6,371.93,1
7.9,29,17,381.57,1
18.3,120,15,370.92,1
2.7,180,22,376.97,1
3.6,180,37,380.2,1
236,163.4,254.4,꼇澗졉,0
48.5,137.7,131.8,꼇澗졉,0
0.5,40,22,371.93,1
1,45,0,371.93,1
32,22,19,371.93,1
100,37,119,371.98,1
56,14,3,376.49,1
3.7,70,5,375.5,1
18,47,33,378.88,1
37,66,15,371.93,1
55,14,3,371.95,1
38,19,21,371.8,1
24,56,12,372.14,1
16,15,17,370.4,1
21,21,7,꼇澗졉,0
1.6,39,21,371.93,1
42,22,1,371.93,1
32,120,12,371.93,1
68,119,0,372.03,1
13.2,17,7,371.66,1
25,2,50,388.76,1
8,17,6,374.05,1
20.5,38,5,377.81,1
12,89,34,416.7,1
28,100,60,꼇澗졉,0
0.7,22,16,371.93,1
27,12,2,371.92,1
38,13,12,388.2,1
